"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"1008","S E","Undergraduate, 3rd year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","Because STEM majors have their concerns elsewhere.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"1009","S E","Undergraduate, 1st year","No","Was not eligible","No","No","Neither agree nor disagree","No","No","I think that STEM is relatively unaffected by politics because I think that most politicians agree on needing to continue support for STEM related research and development. I think this leads to STEM majors not voting since they just don’t really care nor are affected by who wins the election","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"1010","S E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","No one cares enough","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"1011","S E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Busy","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"1012","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","they are harder majors? too much work to do and think they don’t have time to vote?","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"1013","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","No","Buncha nerds","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"1014","S E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","Introverts. Com S majors can barely get out of their room and take a shower let alone vote.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"1015","S E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","I think it's this way because these students generally think they will not make a difference.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"1016","S E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","Isn’t this what you’re supposed to figure out","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"1017","S E","Transferred, undergraduate - equivalent to 3rd year or later","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","working on other things, so it is not a priority","Lack of time due to course load","Probably yes","Stem"
"1018","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I would think that it is because their majors are less involved in politically charged fields. Also, on a personal note, it is very hard to take charge and be politically active while pursuing a hard major simply because of time constraints and stress.","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"1019","S E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","The nature of the degrees doesn't not lend itself toward concern about political issues. Additionally, STEM majors tend to have less time to do non-course work. ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"1020","S E","Undergraduate, 2nd year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"1021","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","I think that compared to the ideas that STEM majors focus on, electing a president is not as high a priority.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"1022","S E","Transferred, undergraduate - equivalent to 3rd year or later","No","No","No","No","Strongly Agree","No","No","Politics are often illogical, which is stressful and tiring.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"1023","S E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Rigorous Course-load ","Lack of time due to course load","Definitely yes","Stem"
"1024","S E","Undergraduate, 4th year","No","No","Yes","No","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"1025","S E","Transferred, undergraduate - equivalent to 1st or 2nd year","No","No","Yes","Yes","Strongly Agree","Yes","Yes","They don't care enough about politics to go out and vote.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"1026","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","STEM majors are more preoccupied with coursework than most other students.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"1027","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Because they have so much school work that they don’t “have time to worry about it” and they are so focused on school, getting an internship, and side projects so they can get a good job when they finish college. ","Lack of time due to course load","Definitely yes","Stem"
"1028","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","Yes","","Lack of discussion on these topics in classes","Definitely yes","Stem"
"1029","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","We’re busy people","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"1030","S E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly disagree","No","No","Because they're smart enough to understand how useless, corrupt, and broken our political system is.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely not","Stem"
